taxon_id,name,obs_count
131568,Chamaecrista nictitans,117
1391871,Viola communis,117
53183,Oxalis stricta,115
57317,Vicia villosa,115
82110,Rubus allegheniensis,115
53110,Lactuca canadensis,113
447069,Persicaria extremiorientalis,113
52658,Drosera rotundifolia,112
54531,Cardamine pratensis,112
632667,Vincetoxicum rossicum,111
55969,Viburnum opulus,110
79002,Scirpus cyperinus,110
122603,Schizachyrium scoparium,110
58725,Juniperus communis,109
76942,Erigeron strigosus,108
53793,Mitella diphylla,107
56065,Galium odoratum,107
59771,Mertensia virginica,107
82311,Carex lupulina,107
122091,Woodsia obtusa,107
126169,Staphylea trifolia,107
52162,Cakile edentula,106
84270,Vaccinium pallidum,106
127684,Viola blanda,106
59570,Arctium minus,105
77206,Galium mollugo,105
138983,Lespedeza hirta,105
204172,Fallopia scandens,105
53065,Galium triflorum,104
53298,Stellaria media,104
53307,Cerastium fontanum,104
77676,Lepidium virginicum,104
51610,Veronica chamaedrys,103
135261,Solidago juncea,103
154326,Lespedeza violacea,103
136608,Bazzania trilobata,102
54784,Quercus coccinea,101
55971,Tanacetum vulgare,100
68053,Vitis labrusca,100
75501,Arctium lappa,99
119269,Quercus stellata,99
56121,Capsella bursa-pastoris,98
56170,Galinsoga quadriradiata,98
82342,Lonicera maackii,98
132767,Chamaedaphne calyculata,98
56406,Marchantia polymorpha,97
57190,Phleum pratense,97
85321,Campanula rapunculoides,97
77616,Lactuca biennis,96
82566,Dryopteris cristata,96
169900,Trapa natans,96
49130,Myosotis scorpioides,95
57066,Melilotus officinalis,95
81594,Elymus hystrix,95
133353,Malus toringo,94
159499,Bryoandersonia illecebra,94
859236,Hypericum virginicum,94
57920,Xanthium strumarium,93
82372,Galium circaezans,93
61824,Trifolium hybridum,92
62371,Sparganium americanum,92
117435,Sicyos angulatus,92
117440,Eutrochium maculatum,92
126369,Anemone virginiana,92
55666,Veronica persica,91
122081,Phegopteris hexagonoptera,91
126249,Akebia quinata,91
130993,Desmodium paniculatum,91
170200,Viburnum dilatatum,91
62776,Clematis terniflora,90
79487,Verbena bonariensis,90
83073,Solidago gigantea,90
85313,Physostegia virginiana,90
169984,Trillium cernuum,90
63512,Acer palmatum,89
64547,Teucrium canadense,89
127326,Carex pensylvanica,89
133038,Penthorum sedoides,89
52992,Matricaria discoidea,88
126864,Viola rotundifolia,88
204246,Atocion armeria,87
48688,Setaria pumila,86
63337,Phalaris arundinacea,86
119825,Aralia hispida,86
490542,Krigia virginica,86
53324,Vicia sativa,85
54805,Fraxinus americana,85
84998,Carex swanii,85
126891,Pycnanthemum tenuifolium,85
181927,Parthenocissus inserta,85
51808,Lysimachia punctata,84
59028,Verbascum blattaria,83
119095,Conoclinium coelestinum,83
119813,Actaea racemosa,83
125386,Asclepias exaltata,83
130368,Osmorhiza longistylis,83
53038,Drosera intermedia,82
53313,Trifolium dubium,80
119154,Solidago flexicaulis,80
