species,status,is_weed,cipwg_category,source,hazard
Allium moly,introduced,false,,iNaturalist establishment_means (CT),
Allium tricoccum,native,false,,iNaturalist establishment_means (CT),
Allium tuberosum,introduced,false,,iNaturalist establishment_means (CT),
Allium vineale,introduced,false,,iNaturalist establishment_means (CT),
Alnus glutinosa,introduced,false,,iNaturalist establishment_means (CT),
Alnus serrulata,native,false,,iNaturalist establishment_means (CT),
Aloe vera,ornamental,false,,iNat cultivated scope (WS-B),
Alopecurus pratensis,introduced,false,,iNaturalist establishment_means (CT),
Althaea officinalis,introduced,false,,iNaturalist establishment_means (CT),
Amaranthus blitum,introduced,false,,iNaturalist establishment_means (CT),
Amaranthus cruentus,introduced,false,,iNaturalist establishment_means (CT),
Amaranthus hybridus,introduced,false,,iNaturalist establishment_means (CT),
Amaranthus spinosus,introduced,false,,iNaturalist establishment_means (CT),
Amauropelta noveboracensis,native,false,,iNaturalist establishment_means (CT),
Ambrosia artemisiifolia,native,false,,iNaturalist establishment_means (CT),
Amelanchier canadensis,native,false,,iNaturalist establishment_means (CT),
Amorpha fruticosa,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Ampelopsis glandulosa,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Amphicarpaea bracteata,native,false,,iNaturalist establishment_means (CT),
Amsonia hubrichtii,ornamental,false,,iNat cultivated scope (WS-B),
Amsonia tabernaemontana,introduced,false,,iNaturalist establishment_means (CT),
Andropogon gerardi,native,false,,iNaturalist establishment_means (CT),
Anemonoides blanda,introduced,false,,iNaturalist establishment_means (CT),
Anemonoides nemorosa,introduced,false,,iNaturalist establishment_means (CT),
Anemonoides quinquefolia,native,false,,iNaturalist establishment_means (CT),
Anethum graveolens,introduced,false,,iNaturalist establishment_means (CT),
Antennaria neglecta,native,false,,iNaturalist establishment_means (CT),
Antennaria plantaginifolia,native,false,,iNaturalist establishment_means (CT),
Anthoxanthum odoratum,introduced,false,,iNaturalist establishment_means (CT),
Anthriscus caucalis,introduced,false,,iNaturalist establishment_means (CT),
Anthriscus sylvestris,introduced,false,,iNaturalist establishment_means (CT),
Anthurium andraeanum,ornamental,false,,iNat cultivated scope (WS-B),
Antirrhinum majus,introduced,false,,iNaturalist establishment_means (CT),
Apios americana,native,false,,iNaturalist establishment_means (CT),
Apocynum androsaemifolium,native,false,,iNaturalist establishment_means (CT),
Apocynum cannabinum,native,false,,iNaturalist establishment_means (CT),
Aquilegia atrata,introduced,false,,iNaturalist establishment_means (CT),
Aquilegia canadensis,native,false,,iNaturalist establishment_means (CT),
Aquilegia vulgaris,introduced,false,,iNaturalist establishment_means (CT),
Arabidopsis thaliana,introduced,false,,iNaturalist establishment_means (CT),
Arachis hypogaea,introduced,false,,iNaturalist establishment_means (CT),
Aralia elata,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Aralia nudicaulis,native,false,,iNaturalist establishment_means (CT),
Araucaria araucana,ornamental,false,,iNat cultivated scope (WS-B),
Arctium lappa,introduced,false,,iNaturalist establishment_means (CT),
Arctium minus,introduced,false,,iNaturalist establishment_means (CT),
Arenaria serpyllifolia,introduced,false,,iNaturalist establishment_means (CT),
Arisaema triphyllum,native,false,,iNaturalist establishment_means (CT),
Aristolochia macrophylla,introduced,false,,iNaturalist establishment_means (CT),
Armoracia rusticana,introduced,false,,iNaturalist establishment_means (CT),
Aronia arbutifolia,native,false,,iNaturalist establishment_means (CT),
Arrhenatherum elatius,introduced,false,,iNaturalist establishment_means (CT),
Artemisia absinthium,introduced,false,,iNaturalist establishment_means (CT),
Artemisia annua,introduced,false,,iNaturalist establishment_means (CT),
Artemisia ludoviciana,introduced,false,,iNaturalist establishment_means (CT),
Artemisia stelleriana,introduced,false,,iNaturalist establishment_means (CT),
